"Zone ID","Zone","City Code","TCS ID","Centre code","LISP","Add1","Add2","Add3","Pincode","City","State","Max","S1-ME1","S1-EC1","S2-ME2","S2-BT, CH, GG, MN, PH","S3-ME3","S3-EC2","S4-EC3","S4-AR, CY, IN, MA, PE","S5-CS1","S5-CE1","S6-CS2","S6-EE1","S7-CE2","S7-AG, EY, MT, PI","S8-EE2","S8-AE, TF, XL, XE","PWD FRIENDLY"
1,"IISc Bangalore",6,,1051,"Archana College of Engineering","Ulavukkadu"," Palamel"," Nooranadu P.O.",690504,"Alappuzha","Kerala",81,24,42,39,15,24,42,15,15,26,56,46,35,34,0,27,8,"NO"
1,"IISc Bangalore",6,,1052,"Sri Vellappally Natesan College of Engineering","Kattachira"," Pallickal P O"," Mavelikara",690503,"Alappuzha","Kerala",225,66,115,106,42,67,115,41,41,72,154,128,96,95,0,75,23,"YES"
1,"IISc Bangalore",9,,1053,"De Paul Institute of Science and Technology","De Paul Nagar"," Angamaly"," Ernakulam",683573,"Aluva","Kerala",108,44,58,60,30,21,72,26,51,51,53,71,32,76,2,65,13,"YES"
1,"IISc Bangalore",9,,1054,"Sree Narayana Guru Institute of Science and Technology","Thekkethazham  Mannam P.O","Manjali"," North Paravur Ernakulam",683520,"Aluva","Kerala",194,78,105,108,54,37,129,45,92,90,94,126,57,135,3,116,24,"NO"
1,"IISc Bangalore",15,,1002,"Gates Institute of Technology,Gooty","NH-7","Gooty-Anantapuram Village","Anantapur",515401,"Anantapur","Andhra Pradesh",198,44,132,98,30,44,132,0,0,71,128,32,166,81,7,114,14,"NO"
1,"IISc Bangalore",15,,1003,"Shri Sai Institute of Engineering and Technology","N.H.7","Podaralla Village","Bukkarayasamudram Mandal",515001,"Anantapur","Andhra Pradesh",99,22,66,49,15,22,66,51,41,36,64,16,83,41,4,57,7,"NO"
1,"IISc Bangalore",15,,1004,"Sri Sai Baba National SSBN PG and Degree College","Opposite ZPP Office","Hospital Road","Anantapur",515001,"Anantapur","Andhra Pradesh",108,24,72,53,17,24,72,0,0,39,70,18,91,44,4,63,8,"NO"
1,"IISc Bangalore",15,,1005,"Srinivasa Ramanujan Institute of Technology","Rotarypuram Village","B K Samudram Mandal","Anantapur",515701,"Anantapur","Andhra Pradesh",225,50,150,111,34,50,150,0,0,80,145,36,188,92,8,130,16,"NO"
1,"IISc Bangalore",18,,1055,"Rajadhani Institute of Engineering And Technology","Neduparambu"," Nagaroor","Thiruvananthapuram Attingal",695102,"Attingal","Kerala",342,139,188,100,60,80,187,63,63,28,250,200,111,91,9,87,40,"YES"
1,"IISc Bangalore",20,,1010,"Basaveshwar Engineering College","vidyagiri"," Bagalkot",,587102,"Bagalkot","Karnataka",198,140,55,158,36,141,55,159,35,40,155,197,0,177,18,178,7,"YES"
1,"IISc Bangalore",27,,1011,"K. L. E. Society College of Engineering & Technology","Udyambag"," Belgaum",,590008,"Belgaum","Karnataka",162,86,74,105,20,86,74,45,11,40,112,60,84,45,11,0,0,"NO"
1,"IISc Bangalore",27,,1102,"Jain College of Engineering","TS Nagar Hunchanatti Cross"," Machhe"," Belgaum",590014,"Belgaum","Karnataka",135,72,61,88,16,72,61,37,9,34,93,50,70,37,9,44,21,"NO"
1,"IISc Bangalore",27,,1012,"Karnataka Law Societys Gogte Institute of Technology","Jnana Ganga"," Khanapur Road"," Udyambag",590008,"Belgaum","Karnataka",252,133,114,163,30,134,114,69,16,62,174,93,131,69,16,0,0,"NO"
1,"IISc Bangalore",28,,1103,"Rao Bahadur Y.Mahabaleshwarappa Engineering College","Rao Bahadur Y.Mahabaleshwarappa Engineering College"," Cantonment"," Bellary",583104,"Bellary","Karnataka",198,122,0,36,36,41,70,0,0,0,0,47,62,35,35,50,9,"NO"
1,"IISc Bangalore",28,,1013,"Ballari Institute of Technology & Management","Jnana Gangotri Campus "," No.873 2 BellaryHospet Road"," Near Allipur ",583104,"Bellary","Karnataka",288,177,0,0,0,60,101,33,33,0,38,67,91,51,51,0,0,"NO"
1,"IISc Bangalore",23,,1014,"Acharya Institute of Technology","Acharya Dr. Sarvepalli Radhakrishnan Road","Soldevanahalli"," Hesaraghatta Main Road",560107,"Bengaluru","Karnataka",378,176,199,253,119,116,261,179,93,205,170,259,116,121,31,194,105,"NO"
1,"IISc Bangalore",23,,1015,"ACS College of Engineering","#201 Kambipura"," Near RajaRajeswari Medical College & Hospital"," Mysore Road",560074,"Bengaluru","Karnataka",198,93,105,133,63,61,137,94,49,108,89,136,61,0,0,0,0,"YES"
1,"IISc Bangalore",23,,1016,"Cambridge Institute Of Technology","T C Palya,K R Puram"," Basavanapura Main Road gayathri layout"," Krishnarajapuram",560036,"Bengaluru","Karnataka",248,116,131,166,78,76,172,118,61,135,112,170,76,79,21,127,69,"NO"
1,"IISc Bangalore",23,,1017,"CMR Institute of Technology","132 AECS Layout"," IT Park Road"," Kundalahalli Village",560037,"Bengaluru","Karnataka",198,93,105,133,63,61,137,94,49,108,89,136,61,63,17,102,55,"NO"
1,"IISc Bangalore",23,,1018,"Dayananda Sagar Institutions","Shavige Malleshwara Hills"," Kumaraswamy Layout"," Bengaluru",560078,"Bengaluru","Karnataka",398,185,210,266,125,122,275,189,98,216,179,272,122,127,33,204,110,"NO"
1,"IISc Bangalore",23,,1019,"Don Bosco Institute of Technology","Kumbalagodu","Mysore Road"," Bengaluru",560074,"Bengaluru","Karnataka",225,105,119,151,71,69,156,107,56,122,101,154,69,72,19,116,63,"NO"
1,"IISc Bangalore",23,,1022,"Global Academy of Technology","Rajarajeshwari Nagar off Mysore Road"," Ideal Homes Township"," Bengaluru",560098,"Bengaluru","Karnataka",180,84,95,121,57,55,125,86,45,98,81,124,55,58,15,93,50,"YES"
1,"IISc Bangalore",23,,1104,"JSS Academy of Technical Education","Uttarahalli,","Kengeri Road","Bengaluru",560060,"Bengaluru","Karnataka",180,84,95,121,57,55,125,86,45,98,81,124,55,0,0,0,0,"NO"
1,"IISc Bangalore",23,,1023,"K S School of Engineering and Management"," 15 Mallasandra "," OffKanakapura Road"," Bengaluru",560062,"Bengaluru","Karnataka",225,105,119,151,71,69,156,107,56,122,101,154,69,72,19,116,63,"NO"
1,"IISc Bangalore",23,,1024,"K. S Institute of Technology","No14"," Raghuvanahallli"," Kanakapura Main Road ",560062,"Bengaluru","Karnataka",270,126,143,181,85,83,187,128,67,146,122,185,83,86,22,139,75,"NO"
