Zone ID,Zone,City Code,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-ME1,S1-EC1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CS1,S5-CE1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE",PwD-Friendly
5,IIT KANPUR,33,,5025,LAKSHMI NARAYAN COLLEGE OF TECHNOLOGY EXCELLENCE,"Khajuri Khurd, Raisen Road Anand Nagar","Bhopal,Madhya Pradesh,India ",,462021,Bhopal,Madhya Pradesh,230,126,55,149,31,126,55,133,48,110,121,133,97,219,12,209,22,YES
5,IIT KANPUR,33,,5026,Technocrats Institute of Technology,Anand Nagar In front of Hathaikheda Dam P.B No. 24  Piplani,"BHEL,, Bhopal,Madhya Pradesh,India ",,462021,Bhopal,Madhya Pradesh,180,126,55,149,31,126,55,133,48,0,0,0,0,0,0,0,0,YES
5,IIT KANPUR,33,,5027,Sagar Institute Of Research & Technology,Ayodhya Bypass Road,BhopalMadhya PradeshIndia ,,462041,Bhopal,Madhya Pradesh,240,133,58,158,33,133,58,140,50,115,126,139,102,229,12,218,23,YES
5,IIT KANPUR,33,,5028,Trinity Institute of Technology and Research,Kokta Bypass raisen road,"Bhopal,Madhya Pradesh,India ",,462038,Bhopal,Madhya Pradesh,240,147,64,174,37,147,64,155,56,115,126,139,102,229,12,218,23,YES
5,IIT KANPUR,33,,5029,Vidhyapeeth Institute Of Science And Technology,Near New S.O.S Balgram Sahara By-Pass , Raisen Road Bhopal Madhya Pradesh India ,,462021,Bhopal,Madhya Pradesh,140,98,43,116,25,98,43,104,37,0,0,0,0,0,0,0,0,YES
5,IIT KANPUR,66,,5030,Institute Of Professional Studies,Shivpuri Link Road Bela ki Bawadi Tiraha,Gwalior Madhya Pradesh India,,474001,Gwalior,Madhya Pradesh,320,182,138,218,102,183,138,239,81,40,131,320,0,106,8,251,46,YES
5,IIT KANPUR,66,,5031,"ShriRam Group Of Colleges, Gwalior",National Expressway Opp Narrow Gauge railway station,"Gwalior,Madhya Pradesh India",,476444,Gwalior,Madhya Pradesh,105,57,44,69,32,58,43,75,26,24,77,105,0,94,7,85,16,YES
5,IIT KANPUR,66,,5032,NRI College Of Engineering and Management,BAARAGHATA NEAR RAILWAY UNDER BRIDGE JHANSI ROAD," Gwalior,Madhya Pradesh India- ",,474001,Gwalior,Madhya Pradesh,150,80,61,96,45,80,60,105,36,33,107,150,0,101,7,128,24,YES
5,IIT KANPUR,66,,5033,MALWA INSTITUTE OF TECHNOLOGY and MANAGEMENT,NH-75 Sikroda Badori Jhansi Road,GwaliorMadhya Pradesh India,,475001,Gwalior,Madhya Pradesh,120,69,52,82,39,69,52,90,31,28,92,120,0,0,0,85,16,YES
5,IIT KANPUR,66,,5034,Laksmi narain college of technology,GRAM RAI CHITORA ROAD NEAR BADA GAON MORAR CANT, Gwalior Madhya Pradesh India ,,474006,Gwalior,Madhya Pradesh,105,57,44,69,32,58,43,75,26,24,77,105,0,0,0,0,0,YES
5,IIT KANPUR,66,,5035,BETHESDA INSTITUTE OF TECHNOLOGY AND SCIENCES,RATTWAI CHITTORA ROAD MORAR,Gwalior Madhya Pradesh India ,,474006,Gwalior,Madhya Pradesh,100,0,0,0,0,0,0,0,0,14,46,100,0,0,0,0,0,YES
5,IIT KANPUR,77,,5036,Gyan Ganga Institute of Technology and Sciences CENTER 1,Tilwara Ghat Road Garha Near Bargi Hills Tripura Ward,JabalpurMadhya PradeshIndia,,482003,Jabalpur,Madhya Pradesh,301,159,141,247,53,160,142,181,40,113,127,183,57,173,67,222,18,YES
5,IIT KANPUR,77,,5037,Gyan Ganga Institute of Technology and Sciences CENTER 2,Tilwara Ghat Road Garha Near Bargi Hills Tripura Ward,"Jabalpur Madhya Praesh,India-",,482003,Jabalpur,Madhya Pradesh,322,171,152,266,57,171,152,204,45,133,148,215,66,202,79,260,21,YES
5,IIT KANPUR,77,,5038,Shri Ram Institute Of Technology Campus CENTER 1,Near ITI madhotal, Jabalpur Madhya Pradesh India,,482001,Jabalpur,Madhya Pradesh,300,159,141,168,36,159,141,138,30,123,138,199,62,188,73,242,19,YES
5,IIT KANPUR,90,,5039,Krishna Institute Of Technology,Gram Amliha Post Tatiya Gang,Tehsil Billhaur Kanpur,,209217,Kanpur,Uttar Pradesh,300,159,92,65,186,159,92,53,97,198,103,193,109,147,54,117,169,YES
5,IIT KANPUR,90,,5040,Kanpur Institute of Technology, A-1 UPSIDC Industrial Area Rooma,Kanpur Allahabad RoadKanpur,,208001,Kanpur,Uttar Pradesh,243,153,88,54,157,152,88,57,104,145,75,141,79,140,51,100,144,YES
5,IIT KANPUR,90,,5041,Dr Virendra Swarup Group of Institutions,Ragendra Swarup Knowledge City Kanpur Lucknow Highway  ,Near Azad Marg Chauraha  Unnao,,209861,Kanpur,Uttar Pradesh,200,102,59,40,117,102,59,36,65,132,69,129,73,78,29,68,98,YES
5,IIT KANPUR,90,,5042,Allen House Institute of Technology,Kulgaon road,Rooma  kanpur ,,208008,Kanpur,Uttar Pradesh,200,102,59,36,105,102,59,36,65,132,69,129,73,74,27,66,95,YES
5,IIT KANPUR,90,,5043,PSIT - 1,Kanpur-Agra-New Delhi,National Highway-2 Bhauti-Kanpur,,209305,Kanpur,Uttar Pradesh,200,127,74,44,127,128,73,62,113,121,63,117,66,0,0,0,0,YES
5,IIT KANPUR,90,,5044,PSIT - 2,Kanpur-Agra-New Delhi National Highway-2,  Bhauti-Kanpur,,209305,Kanpur,Uttar Pradesh,208,133,76,39,112,133,76,57,104,0,0,0,0,0,0,0,0,YES
