Zone ID,Zone,City Code,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-EC1,S1-ME1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CE1,S5-CS1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE"
4,IIT Guwahati,65,,4001,Royal Group of Institutions,"Betkuchi, Opp. Tirupati Balaji Temple","ISBT, N.H.- 37",,781035,Guwahati,Assam,325,172,126,48,250,157,115,54,218,77,221,152,147,0,0,0,0
4,IIT Guwahati,65,,4002,Edu Surge Guwahati,"Gotanagar, Guwahati Nursury","House No -7, Opp Radisson Blu Hotel","NH 37, Jalukbari",781011,Guwahati,Assam,300,159,117,44,231,145,106,50,201,71,204,140,136,168,41,176,103
4,IIT Guwahati,65,,4003,Scholar's Institute of Technology and Management,"Garoghuli Road, Garchuk",,,781035,Guwahati,Assam,170,90,66,25,131,82,61,29,114,41,116,80,77,0,0,0,0
4,IIT Guwahati,65,,4004,North Eastern Regional Institute of Management (NERIM),"Padma Nath Sarmah Bhawan, Tripura Road, Jayanagar",Khanapara,,781022,Guwahati,Assam,108,57,42,16,84,52,39,18,73,26,74,51,49,0,0,0,0
4,IIT Guwahati,65,,4005,Central Institute of Plastic Engineering & Technology (CIPET) - Guwahati,Changsari,Dist. Kamrup,,781101,Guwahati,Assam,96,51,38,14,74,47,34,16,65,23,66,45,44,0,0,0,0
4,IIT Guwahati,65,,4006,NETES Institute of Technology & Science Mirza,Shantipur,Mirza,,781125,Guwahati,Assam,110,58,43,16,85,53,39,19,74,26,75,52,50,0,0,0,0
4,IIT Guwahati,65,,4007,TCS ILP CENTRE,"5th Floor, NEDFi House","Near Hanuman Mandir, G.S. Road, Dispur ",,781006,Guwahati,Assam,130,0,0,0,0,63,46,22,87,0,0,0,0,73,18,76,45
4,IIT Guwahati,65,,4008,Assam Engineering Institute,"M.R.D. Road, Chandmari",,,781003,Guwahati,Assam,94,50,37,14,73,46,34,16,63,23,64,44,43,0,0,0,0
4,IIT Guwahati,65,,4009,Regional Institute of Science & Technology (RIST),"Techno City, Killing Road","Baridua, 9th Mile",,793101,Ri Bhoi,Meghalaya,85,0,0,0,0,41,31,15,57,0,0,0,0,48,12,50,30
4,IIT Guwahati,65,,4010,StudyLink Academy,"1st Floor, Uzzala Market","Fatasil, A.K Deb Road",,781009,Guwahati,Assam,90,48,35,14,70,0,0,0,0,22,62,42,41,0,0,0,0
4,IIT Guwahati,84,,4011,Jorhat Engineering College,Village:-Garmur,PO:-JEC,,785007,Jorhat,Assam,157,79,79,0,157,98,60,0,157,72,86,73,85,0,0,0,0
4,IIT Guwahati,84,,4012,J. B. College,JB College Road,Kakoti Gaon,Tarajan,785001,Jorhat,Assam,52,27,26,0,52,33,20,0,52,24,29,24,29,0,0,0,0
4,IIT Guwahati,163,,4013,National Institute of Technology Silchar,"New CSE/ECE Building, Central Computer Centre",NIT Silchar,Dist. Cachar,788010,Silchar,Assam,210,80,91,57,95,80,90,0,118,52,101,103,50,98,55,104,49
4,IIT Guwahati,171,,4014,Tezpur University,Napaam,Sonitpur,,784028,Tezpur,Assam,206,68,86,47,107,68,85,0,157,125,79,0,46,62,10,21,86
4,IIT Guwahati,141,,4015,L. N. Mishra Institute of Economic Development and Social Change,"1, Bailey Road",Near Patna High Court,,800001,Patna,Bihar,135,97,35,103,29,97,35,95,37,79,53,36,96,0,0,0,0
4,IIT Guwahati,141,,4016,UNO Digital Pvt. Ltd. GATE- 1,"GATE NO 1, Road No 2, Block 3 ",Patliputra Industrial Estate,Near P and M Mall,800013,Patna,Bihar,650,458,163,486,135,458,163,448,173,371,249,168,452,526,36,566,83
4,IIT Guwahati,141,,4017,UNO Digital Pvt. Ltd. GATE- 2,"GATE NO 2 Road No 3, Block 3",Patliputra Industrial Estate,Near P and M Mall,800013,Patna,Bihar,930,644,229,683,189,644,229,630,243,521,350,236,635,739,50,810,119
4,IIT Guwahati,141,,4018,Netaji Subhas Institute of Technology,Amhara,Bihta,,801118,Patna,Bihar,230,0,0,0,0,0,0,0,0,133,90,61,163,0,0,0,0
