Zone ID,Zone,City,TCS ID,Centre code,LISP,Add1,Add2,Add3,Pincode,City,State,Max,S1-EC1,S1-ME1,S2-ME2,"S2-BT, CH, GG, MN, PH",S3-ME3,S3-EC2,S4-EC3,"S4-AR, CY, IN, MA, PE",S5-CE1,S5-CS1,S6-CS2,S6-EE1,S7-CE2,"S7-AG, EY, MT, PI",S8-EE2,"S8-AE, TF, XL, XE"
7,IIT MADRAS,Thiruvananthapuram,326,7026,John Cox Memorial CSI Institute of Technology,Kumarapuram,Kannammoola Rd,,695011,Trivandrum,Kerala,180,107,63,60,100,97,73,100,80,80,100,100,70,118,58,101,70
7,IIT MADRAS,Thiruvananthapuram,322,7027,Mohandas College of Engineering and Technology,Anad,Nedumangad,,695544,Trivandrum,Kerala,220,107,85,108,103,100,100,100,100,92,108,107,93,0,0,50,124
7,IIT MADRAS,Thiruvananthapuram,922,7028,TCS ILP,Peepul Park,Technopark Campus,Kazhakootam,695581,Trivandrum,Kerala,500,212,150,130,120,100,253,226,239,196,218,218,188,250,0,200,0
7,IIT MADRAS,Puducherry(Pondicherry),1640,7029,Manakula Vinayagar Institute of Technology,Kalitheerthalkuppam,Manaadipet Commune,,605107,Puducherry,Puducherry,240,90,110,110,90,121,89,90,105,90,130,100,120,90,10,140,60
7,IIT MADRAS,Puducherry(Pondicherry),1895,7030,Rajiv Gandhi College of Engineering and Technology,Puducherry-Cuddalore Main Road,Kirumambakkam,,607402,Puducherry,Puducherry,150,70,70,70,70,68,70,70,70,0,0,70,70,0,0,0,0
7,IIT MADRAS,Puducherry(Pondicherry),1438,7031,Sri Manakula Vinayagar Engineering College,Madagadipet,Puducherry,,605107,Puducherry,Puducherry,240,89,121,121,94,110,90,87,105,90,143,101,96,89,14,144,66
7,IIT MADRAS,Chennai,2402,7032,Aalim Muhammed Salegh College of Engineering,Muthapudupet,Avadi IAF,Tiruvallur,600055,Chennai,Tamil Nadu,500,200,290,258,233,246,200,149,101,118,111,112,120,0,0,119,98
7,IIT MADRAS,Chennai,816,7033,Agni College of Technology,Old Mahabalipuram Road,Thalambur,,600130,Chennai,Tamil Nadu,250,100,150,150,100,150,100,100,100,130,90,100,150,0,0,150,70
7,IIT MADRAS,Chennai,1778,7034,Chennai Institute of Technology,Sarathy Nagar,Kundrathur,,600069,Chennai,Tamil Nadu,250,100,150,150,100,150,100,100,100,120,80,80,170,0,0,170,50
7,IIT MADRAS,Chennai,555,7035,Dhanalakshmi College of Engineering,Dr. V. P. R Nagar,Off. Tambaram Sriperumbudur Road via Manimangalam,Manimangalam Post,601301,Chennai,Tamil Nadu,450,189,157,200,250,200,189,0,233,0,0,0,0,0,0,0,0
