Zone ID	Zone	City Code	TCS ID 	Centre code	LISP	Add1	Add2	Add3	Pincode	City	State	Max	S1-ME1	S1-EC1	S2-ME2	S2-BT,CH,GG,MN,PH	S3-ME3	S3-EC2	S4-EC3	S4-AR,CY,IN,MA,PE	S5-CS1	S5-CE1	S6-CS2	S6-EE1	S7-CE2	S7-AG,EY,MT,PI	S8-EE2	S8-AE,TF,XL,XE
5	IIT KANPUR	33		5025	LAKSHMI NARAYAN COLLEGE OF TECHNOLOGY EXCELLENCE	Khajuri Khurd, Raisen Road Anand Nagar	Bhopal,Madhya Pradesh,India 		462021	Bhopal	Madhya Pradesh	230	125	54	148	30	125	54	132	47	109	120	132	96	218	11	208	21
5	IIT KANPUR	33		5026	Technocrats Institute of Technology	Anand Nagar In front of Hathaikheda Dam P.B No. 24  Piplani	BHEL,, Bhopal,Madhya Pradesh,India 		462021	Bhopal	Madhya Pradesh	180	125	54	148	30	125	54	132	47	0	0	0	0	0	0	0	0
5	IIT KANPUR	33		5027	Sagar Institute Of Research & Technology	Ayodhya Bypass Road	BhopalMadhya PradeshIndia		462041	Bhopal	Madhya Pradesh	240	132	57	157	32	132	57	139	49	114	125	138	101	228	11	217	22
5	IIT KANPUR	33		5028	Trinity Institute of Technology and Research	Kokta Bypass raisen road	Bhopal,Madhya Pradesh,India 		462038	Bhopal	Madhya Pradesh	240	146	63	173	36	146	63	154	55	114	125	138	101	228	11	217	22
5	IIT KANPUR	33		5029	Vidhyapeeth Institute Of Science And Technology	Near New S.O.S Balgram Sahara By-Pass	Raisen Road Bhopal Madhya Pradesh India		462021	Bhopal	Madhya Pradesh	140	97	42	115	24	97	42	103	36	0	0	0	0	0	0	0	0
5	IIT KANPUR	66		5030	Institute Of Professional Studies	Shivpuri Link Road Bela ki Bawadi Tiraha	Gwalior Madhya Pradesh India		474001	Gwalior	Madhya Pradesh	320	182	138	218	102	182	138	239	80	40	131	320	0	106	8	251	46
5	IIT KANPUR	66		5031	ShriRam Group Of Colleges, Gwalior	National Expressway Opp Narrow Gauge railway station	Gwalior,Madhya Pradesh India		476444	Gwalior	Madhya Pradesh	105	57	44	69	32	58	43	75	25	24	77	105	0	94	6	85	15
5	IIT KANPUR	66		5032	NRI College Of Engineering and Management	BAARAGHATA NEAR RAILWAY UNDER BRIDGE JHANSI ROAD	 Gwalior,Madhya Pradesh India- 		474001	Gwalior	Madhya Pradesh	150	79	61	95	45	79	59	104	35	33	107	150	0	100	6	127	23
5	IIT KANPUR	66		5033	MALWA INSTITUTE OF TECHNOLOGY and MANAGEMENT	NH-75 Sikroda Badori Jhansi Road	GwaliorMadhya Pradesh India		475001	Gwalior	Madhya Pradesh	120	68	51	81	39	68	51	89	30	28	91	120	0	0	0	85	15
5	IIT KANPUR	66		5034	Laksmi narain college of technology	GRAM RAI CHITORA ROAD NEAR BADA GAON MORAR CANT	Gwalior Madhya Pradesh India		474006	Gwalior	Madhya Pradesh	105	56	43	68	31	57	42	74	25	24	76	105	0	0	0	0	0
5	IIT KANPUR	66		5035	BETHESDA INSTITUTE OF TECHNOLOGY AND SCIENCES	RATTWAI CHITTORA ROAD MORAR	Gwalior Madhya Pradesh India		474006	Gwalior	Madhya Pradesh	100	0	0	0	0	0	0	0	0	14	45	99	0	0	0	0	0
5	IIT KANPUR	66		5067	SHRI KRISHNA INSTITUTE OF TECHNOLOGY and MANAGEMENT, Gwalior	Bhatkheri Jhansi Road	 Gwalior,Madhya Pradesh,India		474001	Gwalior	Madhya Pradesh	100	0	0	0	0	0	0	0	0	13	45	99	0	0	0	0	0
5	IIT KANPUR	77		5036	Gyan Ganga Institute of Technology and Sciences CENTER 1	Tilwara Ghat Road Garha Near Bargi Hills Tripura Ward	JabalpurMadhya PradeshIndia		482003	Jabalpur	Madhya Pradesh	301	159	141	247	53	160	141	180	40	113	127	183	57	173	67	221	18
5	IIT KANPUR	77		5037	Gyan Ganga Institute of Technology and Sciences CENTER 2	Tilwara Ghat Road Garha Near Bargi Hills Tripura Ward	Jabalpur Madhya Praesh,India-		482003	Jabalpur	Madhya Pradesh	322	171	151	265	57	171	151	203	45	132	147	214	65	201	79	259	20
