ZoneId	PaperCode		S1	S2	S3	S4	S5	S6	S7	S8
8	CE		0	0	0	0	7434	0	4997	0
8	CH		0	1395	0	0	0	0	0	0
8	CS		0	0	0	0	4236	9320	0	0
8	CY		0	0	0	1873	0	0	0	0
8	EC		5706	0	4322	3413	0	0	0	0
8	EE		0	0	0	0	0	3364	0	5853
8	EY		0	0	0	0	0	0	113	0
8	GG		0	718	0	0	0	0	0	0
8	IN		0	0	0	1161	0	0	0	0
8	MA		0	0	0	1191	0	0	0	0
8	ME		6858	7843	5359	0	0	0	0	0
8	MN		0	4	0	0	0	0	0	0
8	MT		0	0	0	0	0	0	143	0
8	PE		0	0	0	248	0	0	0	0
8	PH		0	1666	0	0	0	0	0	0
8	PI		0	0	0	0	0	0	406	0
8	TF		0	0	0	0	0	0	0	237
8	XE		0	0	0	0	0	0	0	247
8	XL		0	0	0	0	0	0	0	1500
